Gene,Xobs
YAL001C,0.036653
YAL002W,0.013326
YAL003W,16.798636
YAL005C,4.906557
YAL007C,0.382429
YAL008W,0.303712
YAL009W,0.101101
YAL010C,0.035496
YAL011W,0.067546
YAL012W,5.205346
YAL013W,0.261263
YAL014C,0.113196
YAL015C,0.106084
YAL016W,1.003132
YAL017W,0.039666
YAL018C,0.032376
YAL019W,0.160091
YAL020C,0.101885
YAL021C,0.320469
YAL022C,0.38036
YAL023C,1.3316
YAL024C,0.008283
YAL025C,0.363978
YAL026C,0.012464
YAL027W,0.122164
YAL028W,0.025819
YAL029C,0.044136
YAL030W,0.9914
YAL031C,0.062973
YAL032C,0.02392
YAL033W,0.307418
YAL034C,0.006294
YAL034WA,0.028809
YAL035W,1.178444
YAL036C,1.440285
YAL037W,0.033056
YAL038W,60.060767
YAL039C,0.981002
YAL040C,0.079025
YAL041W,0.058253
YAL042W,1.907759
YAL043C,0.093893
YAL044C,4.154134
YAL046C,0.254189
YAL047C,0.025651
YAL048C,0.010889
YAL049C,0.909575
YAL051W,0.0672
YAL053W,0.610488
YAL054C,0.015408
YAL055W,0.357573
YAL056W,0.051966
YAL058W,0.233549
YAL059W,0.609131
YAL060W,0.441927
YAL061W,0.04444
YAL062W,0.118169
YAL063C,0.002768
YAL064CA,0.019859
YAL064W,0.02189
YAL064WB,0.022536
YAL065C,0.009587
YAL067C,0.014364
YAL068C,0.21948
YAR002CA,1.363488
YAR002W,0.366442
YAR003W,0.071609
YAR007C,0.297127
YAR008W,0.262526
YAR009C,0.83242
YAR010C,0.321321
YAR014C,0.073461
YAR015W,0.995393
YAR018C,0.110599
YAR019C,0.018429
YAR020C,4.10223
YAR023C,0.021935
YAR027W,0.24272
YAR028W,0.08615
YAR029W,0.008542
YAR031W,0.008973
YAR033W,0.076719
YAR035W,0.042205
YAR042W,0.063194
YAR050W,0.005213
YAR064W,0.005222
YAR066W,0.021271
YAR068W,0.063314
YAR071W,1.3915
YBL001C,1.197242
YBL002W,3.117331
YBL003C,3.121582
YBL004W,0.080401
YBL005W,0.084257
YBL005WA,0.072449
YBL006C,0.804073
YBL007C,0.512953
YBL008W,0.01915
YBL009W,0.035272
YBL010C,0.017446
YBL011W,0.224752
YBL013W,0.005661
YBL014C,0.034089
YBL015W,0.272839
YBL016W,0.244791
YBL017C,0.048578
YBL018C,0.462368
YBL019W,0.025661
YBL020W,0.141845
YBL021C,0.206585
YBL022C,0.505228
YBL023C,0.07682
YBL024W,0.524631
YBL025W,0.116605
YBL026W,0.655052
YBL027W,12.615662
YBL028C,0.279902
YBL029W,0.011296
YBL030C,6.149595
YBL031W,0.014879
YBL032W,0.305008
YBL033C,0.323608
YBL034C,0.082462
YBL035C,0.168011
YBL036C,0.4707
YBL037W,0.037419
YBL038W,0.401591
YBL039C,1.889808
YBL040C,0.53645
YBL041W,0.988155
YBL042C,0.549688
YBL043W,0.074103
YBL044W,0.028021
YBL045C,0.718299
YBL046W,0.076337
YBL047C,0.130764
YBL049W,0.016026
YBL050W,0.54891
YBL051C,0.138216
YBL052C,0.02425
YBL054W,0.198486
YBL055C,0.393652
YBL056W,0.300829
YBL057C,0.365864
YBL058W,1.22139
YBL059W,0.052254
YBL060W,0.02252
YBL061C,0.249174
YBL063W,0.018358
YBL064C,0.45625
YBL066C,0.004556
YBL067C,0.032935
YBL068W,0.854771
YBL069W,0.13163
YBL072C,45.622709
YBL074C,0.019287
YBL075C,0.010376
YBL076C,1.222858
YBL078C,0.14076
YBL079W,0.054103
YBL080C,0.010402
YBL081W,0.255473
YBL082C,0.184066
YBL084C,0.051969
YBL085W,0.130508
YBL086C,0.074625
YBL087C,29.620318
YBL088C,0.010844
YBL089W,0.068893
YBL090W,0.230582
YBL091C,1.610447
YBL092W,22.868549
YBL093C,0.28031
YBL095W,0.120327
YBL097W,0.00689
YBL098W,0.078637
YBL099W,0.94583
YBL101C,0.095732
YBL102W,0.327928
YBL103C,0.023744
YBL104C,0.060092
YBL105C,0.036002
YBL106C,0.01761
YBL107C,0.074435
YBL111C,0.013284
YBL112C,1.296967
YBL113C,0.18383
YBR001C,0.074529
YBR002C,0.143565
YBR003W,0.090405
YBR004C,0.189593
YBR005W,0.279735
YBR006W,0.038898
YBR007C,0.032545
YBR008C,0.041084
YBR009C,3.846954
YBR010W,36.005591
YBR011C,4.994607
YBR012WA,0.312506
YBR012WB,0.036845
YBR013C,0.036388
YBR014C,0.705091
YBR015C,0.312766
YBR016W,1.625122
YBR017C,0.143798
YBR018C,0.010925
YBR019C,0.011708
YBR020W,0.005547
YBR021W,0.04791
YBR022W,0.16516
YBR023C,0.149267
YBR024W,0.085344
YBR025C,3.027223
YBR026C,0.217435
YBR028C,0.034041
YBR029C,0.355296
YBR030W,0.018407
YBR031W,31.74228
YBR033W,0.003845
YBR034C,0.623913
YBR035C,1.081747
YBR036C,0.874807
YBR037C,0.06038
YBR038W,0.09289
YBR039W,0.735509
YBR040W,0.026997
YBR041W,0.432548
YBR042C,0.146455
YBR043C,0.040374
YBR044C,0.026571
YBR045C,0.010379
